Target Table,Target Column,Layer,Mapping Type,QlikView Expression,Snowflake SQL,Ultimate Sources,Needs Review,Notes
MASTER_Classification_FD,Product group ( purchase GP) name ] as purchase GP name,staging,derived,[ Product group ( purchase GP) name ] as purchase GP name,"""Product /* TODO review */ group(purchase GP) name"" as purchase GP name","unknown_source.Product  (  purchase GP) name, unknown_source.purchase, unknown_source.GP, unknown_source.name",Yes,Function 'group()' not in mapping - emitted verbatim; verify Snowflake compatibility.
table_7,management,staging,derived,Product classification,Product classification,"unknown_source.Product, unknown_source.classification",,
table_7,BU,staging,derived,[ Sales Department (BU)],"""Sales /* TODO review */ Department(BU)""",unknown_source.Sales  ( BU),Yes,Function 'Department()' not in mapping - emitted verbatim; verify Snowflake compatibility.
table_7,Sales department (BU) name ] as BU name,staging,derived,[ Sales department (BU) name ] as BU name,"""Sales /* TODO review */ department(BU) name"" as BU name","unknown_source.Sales  ( BU) name, unknown_source.BU, unknown_source.name",Yes,Function 'department()' not in mapping - emitted verbatim; verify Snowflake compatibility.
table_7,Product group ( purchase GP)] as purchase GP,staging,derived,[ Product group ( purchase GP)] as purchase GP,"""Product /* TODO review */ group(purchase GP)"" as purchase GP","unknown_source.Product  (  purchase GP), unknown_source.purchase, unknown_source.GP",Yes,Function 'group()' not in mapping - emitted verbatim; verify Snowflake compatibility.
table_7,Product group ( purchase GP) name ] as purchase GP name,staging,derived,[ Product group ( purchase GP) name ] as purchase GP name,"""Product /* TODO review */ group(purchase GP) name"" as purchase GP name","unknown_source.Product  (  purchase GP) name, unknown_source.purchase, unknown_source.GP, unknown_source.name",Yes,Function 'group()' not in mapping - emitted verbatim; verify Snowflake compatibility.
table_8,NENDO&HANKI&BUKA_CD as concatenated key 2,intermediate,derived,NENDO&HANKI&BUKA_CD as concatenated key 2,NENDO || HANKI || BUKA_CD as concatenated key 2,-,,
table_8,BUKA_NAME as department name,intermediate,derived,BUKA_NAME as department name,BUKA_NAME as department name,-,,
table_8,BUKA_SORT as department order,intermediate,derived,BUKA_SORT as department order,BUKA_SORT as department order,-,,
table_8,SHISHA_CD as location branch code,intermediate,derived,SHISHA_CD as location branch code,SHISHA_CD as location branch code,-,,
table_8,SHISHA_NAME as location branch,intermediate,derived,SHISHA_NAME as location branch,SHISHA_NAME as location branch,-,,
table_8,KYOTEN_NAME as location name,intermediate,derived,KYOTEN_NAME as location name,KYOTEN_NAME as location name,-,,
table_8,KYOTEN_SORT as Order by location name,intermediate,derived,KYOTEN_SORT as Order by location name,KYOTEN_SORT as Order by location name,-,,
table_9,NENDO&HANKI&BUKA_CD as concatenated key 5,intermediate,derived,NENDO&HANKI&BUKA_CD as concatenated key 5,NENDO || HANKI || BUKA_CD as concatenated key 5,-,,
table_9,BUKA_NAME as department/section name2,intermediate,derived,BUKA_NAME as department/section name2,BUKA_NAME as department/section name2,-,,
table_9,BUKA_SORT as department order 2,intermediate,derived,BUKA_SORT as department order 2,BUKA_SORT as department order 2,-,,
table_9,SHISHA_CD as location branch code 2,intermediate,derived,SHISHA_CD as location branch code 2,SHISHA_CD as location branch code 2,-,,
table_9,SHISHA_NAME as location branch 2,intermediate,derived,SHISHA_NAME as location branch 2,SHISHA_NAME as location branch 2,-,,
table_9,KYOTEN_NAME as location name 2,intermediate,derived,KYOTEN_NAME as location name 2,KYOTEN_NAME as location name 2,-,,
table_9,KYOTEN_SORT as location name order 2,intermediate,derived,KYOTEN_SORT as location name order 2,KYOTEN_SORT as location name order 2,-,,
table_9__join10,distinct special code,staging,derived,distinct special code,distinct special code,"tokuim.special, tokuim.code",,
table_9__join10,ONAME,staging,derived,Special name,Special name,"tokuim.Special, tokuim.name",,
TOKUIM,special code,intermediate,derived,special code,special code,-,,
TOKUIM,"if(Isnull(ONAME)=True(), special name ,if(IsNull( special name )=True(),ONAME, favorite name )) as special name",intermediate,derived,"if(Isnull(ONAME)=True(), special name ,if(IsNull( special name )=True(),ONAME, favorite name )) as special name",CASE WHEN ONAME IS NULL=TRUE THEN special name ELSE CASE WHEN special name IS NULL=TRUE THEN ONAME ELSE favorite name END END as special name,-,,
table_12,*,intermediate,constant,*,*,-,,
table_12,dummy,intermediate,constant,'x','x',-,,
table_13,*,intermediate,constant,*,*,-,,
table_13,"x' as dummy ResidentAM0 Where RecNo()<=if(0=1,100,100000000)",intermediate,derived,"'x' as dummy ResidentAM0 Where RecNo()<=if(0=1,100,100000000)",'x' as dummy ResidentAM0 Where /* TODO review */ RecNo()<=CASE WHEN 0=1 THEN 100 ELSE 100000000 END,-,Yes,Function 'RecNo()' requires manual review (no deterministic Snowflake equivalent).
table_14,data up to the 20th of the previous month,intermediate,derived,data up to the 20th of the previous month,data up to the 20th of the previous month,"trace_qvd.data, trace_qvd.up, trace_qvd.to, trace_qvd.the, trace_qvd.th, trace_qvd.of, trace_qvd.previous, trace_qvd.month",,
table_14__join15,*,staging,constant,*,*,-,,
differs__join16,specialty,intermediate,derived,distinct Specialty code,distinct Specialty code,"tokuim.Specialty, tokuim.code",,
differs__join16,specialty name 2 as specialty name,intermediate,derived,specialty name 2 as specialty name,specialty name 2 as specialty name,"tokuim.specialty, tokuim.name",,
differs__join16__join17,Case Number,staging,direct,Case Number,Case Number,ankenmei.Number,,
differs__join16__join17,Case Title,staging,direct,Case Title,Case Title,ankenmei.Title,,
table_18,distinct product code,intermediate,derived,distinct product code,distinct product code,-,,
table_18,"if(len( product code )=8, if(mid( product code ,4,1)<'0', ' export goods ', if(mid( product code ,4,1)>'9', ' export goods ', ' Domestic product ' ) ), ' Domestic product ' ) as export category",intermediate,derived,"if(len( product code )=8, if(mid( product code ,4,1)<'0', ' export goods ', if(mid( product code ,4,1)>'9', ' export goods ', ' Domestic product ' ) ), ' Domestic product ' ) as export category","CASE WHEN LENGTH(product code)=8 THEN CASE WHEN SUBSTR(product code, 4, 1)<'0' THEN ' export goods ' ELSE CASE WHEN SUBSTR(product code, 4, 1)>'9' THEN ' export goods ' ELSE ' Domestic product ' END END ELSE ' Domestic product ' END as export category",-,,
ACT_LOAD__join19,FD,intermediate,direct,FD,FD,-,,
ACT_LOAD__join19,BU,intermediate,direct,BU,BU,-,,
ACT_LOAD__join19,Purchase GP as Purchase GP,intermediate,derived,Purchase GP as Purchase GP,Purchase GP as Purchase GP,-,,
ACT_LOAD__join20,management,intermediate,direct,management,management,-,,
ACT_LOAD__join20,BU,intermediate,direct,BU,BU,-,,
ACT_LOAD__join20,Purchasing GP as Purchasing GP,intermediate,derived,Purchasing GP as Purchasing GP,Purchasing GP as Purchasing GP,-,,
table_21,classification,intermediate,direct,classification,classification,-,,
table_21,property flag,intermediate,derived,property flag,property flag,-,,
table_21,year,intermediate,direct,year,year,-,,
table_21,department code,intermediate,derived,department code,department code,-,,
table_21,branch code,intermediate,derived,branch code,branch code,-,,
table_21,management,intermediate,direct,management,management,-,,
table_21,quantity,intermediate,aggregate,sum( quantity ),SUM(quantity),-,,
table_21,amount,intermediate,aggregate,sum( amount ),SUM(amount),-,,
table_21,quantity1,intermediate,aggregate,sum ( quantity1 ),SUM(quantity1),-,,
table_21,sum( amount 1) as amount 1,intermediate,aggregate,sum( amount 1) as amount 1,SUM(amount 1) as amount 1,-,,
table_21,quantity2,intermediate,aggregate,sum ( quantity2 ),SUM(quantity2),-,,
table_21,sum( amount 2) as amount 2,intermediate,aggregate,sum( amount 2) as amount 2,SUM(amount 2) as amount 2,-,,
table_21,quantity3,intermediate,aggregate,sum ( quantity3 ),SUM(quantity3),-,,
table_21,sum( amount 3) as amount 3,intermediate,aggregate,sum( amount 3) as amount 3,SUM(amount 3) as amount 3,-,,
table_21,quantity4,intermediate,aggregate,sum ( quantity4 ),SUM(quantity4),-,,
table_21,sum( amount 4) as amount 4,intermediate,aggregate,sum( amount 4) as amount 4,SUM(amount 4) as amount 4,-,,
table_21,sum( quantity 5) as quantity 5,intermediate,aggregate,sum( quantity 5) as quantity 5,SUM(quantity 5) as quantity 5,-,,
table_21,sum( amount 5) as amount 5,intermediate,aggregate,sum( amount 5) as amount 5,SUM(amount 5) as amount 5,-,,
table_21,sum( gross profit ) as gross profit,intermediate,aggregate,sum( gross profit ) as gross profit,SUM(gross profit) as gross profit,-,,
table_21,sum( gross profit 1) as gross profit 1,intermediate,aggregate,sum( gross profit 1) as gross profit 1,SUM(gross profit 1) as gross profit 1,-,,
table_21,sum( gross profit 2) as gross profit 2,intermediate,aggregate,sum( gross profit 2) as gross profit 2,SUM(gross profit 2) as gross profit 2,-,,
table_21,sum( gross profit 3) as gross profit 3,intermediate,aggregate,sum( gross profit 3) as gross profit 3,SUM(gross profit 3) as gross profit 3,-,,
table_21,sum( gross profit 4) as gross profit 4,intermediate,aggregate,sum( gross profit 4) as gross profit 4,SUM(gross profit 4) as gross profit 4,-,,
table_21,sum( gross profit 5) as gross profit 5,intermediate,aggregate,sum( gross profit 5) as gross profit 5,SUM(gross profit 5) as gross profit 5,-,,
table_21,dummy,intermediate,constant,'x','x',-,,
BUD_LOAD_TEMP2,year,intermediate,join,year,year,-,,
BUD_LOAD_TEMP2,department code,intermediate,derived,department code,department code,-,,
BUD_LOAD_TEMP2,branch code,intermediate,derived,branch code,branch code,-,,
BUD_LOAD_TEMP2,management,intermediate,join,management,management,-,,
BUD_LOAD_TEMP2,quantity,intermediate,direct,quantity,quantity,-,,
BUD_LOAD_TEMP2,Amount,intermediate,direct,Amount,Amount,-,,
BUD_LOAD_TEMP2,quantity 1,intermediate,direct,quantity 1,quantity 1,-,,
BUD_LOAD_TEMP2,Amount 1,intermediate,direct,Amount 1,Amount 1,-,,
BUD_LOAD_TEMP2,quantity 2,intermediate,direct,quantity 2,quantity 2,-,,
BUD_LOAD_TEMP2,Amount 2,intermediate,direct,Amount 2,Amount 2,-,,
BUD_LOAD_TEMP2,quantity 3,intermediate,direct,quantity 3,quantity 3,-,,
BUD_LOAD_TEMP2,Amount 3,intermediate,direct,Amount 3,Amount 3,-,,
BUD_LOAD_TEMP2,quantity 4,intermediate,direct,quantity 4,quantity 4,-,,
BUD_LOAD_TEMP2,Amount 4,intermediate,direct,Amount 4,Amount 4,-,,
BUD_LOAD_TEMP2,quantity 5,intermediate,direct,quantity 5,quantity 5,-,,
BUD_LOAD_TEMP2,Amount 5,intermediate,direct,Amount 5,Amount 5,-,,
BUD_LOAD_TEMP2,gross profit,intermediate,derived,gross profit,gross profit,-,,
BUD_LOAD_TEMP2,Gross profit 1,intermediate,derived,Gross profit 1,Gross profit 1,-,,
BUD_LOAD_TEMP2,gross profit 2,intermediate,derived,gross profit 2,gross profit 2,-,,
BUD_LOAD_TEMP2,gross profit 3,intermediate,derived,gross profit 3,gross profit 3,-,,
BUD_LOAD_TEMP2,Gross profit 4,intermediate,derived,Gross profit 4,Gross profit 4,-,,
BUD_LOAD_TEMP2,gross profit 5,intermediate,derived,gross profit 5,gross profit 5,-,,
common__join23,year,intermediate,direct,year,year,-,,
common__join23,department code,intermediate,derived,department code,department code,-,,
common__join23,branch code,intermediate,derived,branch code,branch code,-,,
common__join23,management,intermediate,direct,management,management,-,,
common__join23,quantity,intermediate,constant,0,0,-,,
common__join23,amount,intermediate,constant,0,0,-,,
common__join23,quantity1,intermediate,constant,0,0,-,,
common__join23,amount1,intermediate,constant,0,0,-,,
common__join23,0 as quantity 2,intermediate,direct,0 as quantity 2,0 as quantity 2,-,,
common__join23,0 as amount 2,intermediate,direct,0 as amount 2,0 as amount 2,-,,
common__join23,0 as quantity 3,intermediate,direct,0 as quantity 3,0 as quantity 3,-,,
common__join23,0 as amount 3,intermediate,direct,0 as amount 3,0 as amount 3,-,,
common__join23,0 as quantity 4,intermediate,direct,0 as quantity 4,0 as quantity 4,-,,
common__join23,0 as amount 4,intermediate,direct,0 as amount 4,0 as amount 4,-,,
common__join23,0 as quantity 5,intermediate,direct,0 as quantity 5,0 as quantity 5,-,,
common__join23,0 as amount 5,intermediate,direct,0 as amount 5,0 as amount 5,-,,
common__join23,0 as gross profit,intermediate,derived,0 as gross profit,0 as gross profit,-,,
common__join23,0 as gross profit 1,intermediate,derived,0 as gross profit 1,0 as gross profit 1,-,,
common__join23,0 as gross profit 2,intermediate,derived,0 as gross profit 2,0 as gross profit 2,-,,
common__join23,0 as gross profit3,intermediate,derived,0 as gross profit3,0 as gross profit3,-,,
common__join23,0 as gross profit 4,intermediate,derived,0 as gross profit 4,0 as gross profit 4,-,,
common__join23,0 as gross profit 5,intermediate,derived,0 as gross profit 5,0 as gross profit 5,-,,
BUD_LOAD_TEMP2__join24,year,intermediate,direct,year,year,-,,
BUD_LOAD_TEMP2__join24,department code,intermediate,derived,department code,department code,-,,
BUD_LOAD_TEMP2__join24,branch code,intermediate,derived,branch code,branch code,-,,
BUD_LOAD_TEMP2__join24,management,intermediate,direct,management,management,-,,
BUD_LOAD_TEMP2__join24,quantity as quantity B,intermediate,derived,quantity as quantity B,quantity as quantity B,-,,
BUD_LOAD_TEMP2__join24,amount as amount B,intermediate,derived,amount as amount B,amount as amount B,-,,
BUD_LOAD_TEMP2__join24,quantity 1 as quantity 1B,intermediate,derived,quantity 1 as quantity 1B,quantity 1 as quantity 1B,-,,
BUD_LOAD_TEMP2__join24,amount 1 as amount 1B,intermediate,derived,amount 1 as amount 1B,amount 1 as amount 1B,-,,
BUD_LOAD_TEMP2__join24,quantity 2 as quantity 2B,intermediate,derived,quantity 2 as quantity 2B,quantity 2 as quantity 2B,-,,
BUD_LOAD_TEMP2__join24,amount 2 as amount 2B,intermediate,derived,amount 2 as amount 2B,amount 2 as amount 2B,-,,
BUD_LOAD_TEMP2__join24,quantity 3 as quantity 3B,intermediate,derived,quantity 3 as quantity 3B,quantity 3 as quantity 3B,-,,
BUD_LOAD_TEMP2__join24,amount 3 as amount 3B,intermediate,derived,amount 3 as amount 3B,amount 3 as amount 3B,-,,
BUD_LOAD_TEMP2__join24,quantity 4 as quantity 4B,intermediate,derived,quantity 4 as quantity 4B,quantity 4 as quantity 4B,-,,
BUD_LOAD_TEMP2__join24,amount 4 as amount 4B,intermediate,derived,amount 4 as amount 4B,amount 4 as amount 4B,-,,
BUD_LOAD_TEMP2__join24,quantity 5 as quantity 5B,intermediate,derived,quantity 5 as quantity 5B,quantity 5 as quantity 5B,-,,
BUD_LOAD_TEMP2__join24,amount 5 as amount 5B,intermediate,derived,amount 5 as amount 5B,amount 5 as amount 5B,-,,
BUD_LOAD_TEMP2__join24,gross profit as gross profit B,intermediate,derived,gross profit as gross profit B,gross profit as gross profit B,-,,
BUD_LOAD_TEMP2__join24,gross profit 1 as gross profit 1B,intermediate,derived,gross profit 1 as gross profit 1B,gross profit 1 as gross profit 1B,-,,
BUD_LOAD_TEMP2__join24,gross profit 2 as gross profit 2B,intermediate,derived,gross profit 2 as gross profit 2B,gross profit 2 as gross profit 2B,-,,
BUD_LOAD_TEMP2__join24,gross profit 3 as gross profit 3B,intermediate,derived,gross profit 3 as gross profit 3B,gross profit 3 as gross profit 3B,-,,
BUD_LOAD_TEMP2__join24,gross profit 4 as gross profit 4B,intermediate,derived,gross profit 4 as gross profit 4B,gross profit 4 as gross profit 4B,-,,
BUD_LOAD_TEMP2__join24,gross profit 5 as gross profit 5B,intermediate,derived,gross profit 5 as gross profit 5B,gross profit 5 as gross profit 5B,-,,
BUD_LOAD_TEMP3,dummy,intermediate,constant,'x','x',-,,
BUD_LOAD_TEMP3,category,intermediate,constant,'BUD','BUD',-,,
BUD_LOAD_TEMP3,0 as property flag,intermediate,derived,0 as property flag,0 as property flag,-,,
BUD_LOAD_TEMP3,year,intermediate,direct,year,year,-,,
BUD_LOAD_TEMP3,department code,intermediate,derived,department code,department code,-,,
BUD_LOAD_TEMP3,branch code,intermediate,derived,branch code,branch code,-,,
BUD_LOAD_TEMP3,management,intermediate,direct,management,management,-,,
BUD_LOAD_TEMP3,"Quantity - if(IsNull( QuantityB ) ,0, QuantityB ) asQuantity",intermediate,derived,"Quantity - if(IsNull( QuantityB ) ,0, QuantityB ) asQuantity",Quantity - CASE WHEN QuantityB IS NULL THEN 0 ELSE QuantityB END asQuantity,-,,
BUD_LOAD_TEMP3,"Amount - if(IsNull( AmountB ),0, AmountB ) asAmount",intermediate,derived,"Amount - if(IsNull( AmountB ),0, AmountB ) asAmount",Amount - CASE WHEN AmountB IS NULL THEN 0 ELSE AmountB END asAmount,-,,
BUD_LOAD_TEMP3,"Quantity1 - if(IsNull( Quantity1B ),0, Quantity1B ) asQuantity1",intermediate,derived,"Quantity1 - if(IsNull( Quantity1B ),0, Quantity1B ) asQuantity1",Quantity1 - CASE WHEN Quantity1B IS NULL THEN 0 ELSE Quantity1B END asQuantity1,-,,
BUD_LOAD_TEMP3,"Amount1 - if(IsNull( Amount1B ),0, Amount1B ) asAmount1",intermediate,derived,"Amount1 - if(IsNull( Amount1B ),0, Amount1B ) asAmount1",Amount1 - CASE WHEN Amount1B IS NULL THEN 0 ELSE Amount1B END asAmount1,-,,
BUD_LOAD_TEMP3,"Quantity2 - if(IsNull( Quantity2B ),0 , Quantity2B ) asQuantity2",intermediate,derived,"Quantity2 - if(IsNull( Quantity2B ),0 , Quantity2B ) asQuantity2",Quantity2 - CASE WHEN Quantity2B IS NULL THEN 0 ELSE Quantity2B END asQuantity2,-,,
